"REPD Ref","Status","Site Name","Technology","Capacity (MW)","Local Authority","LA Code"
"Orkney Islands","Hammars Hill Wind Farm Extension","Wind Onshore",8.4,"Awaiting Construction","Orkney Islands","S12000023"
"Orkney Islands","Orkney’s Community Wind Farm Project - Hoy","Wind Onshore",28.8,"Awaiting Construction","Orkney Islands","S12000023"
"Orkney Islands","Nitshill Wind Farm, Hundland Hill","Wind Onshore",26.4,"Application Submitted","Orkney Islands","S12000023"
"Orkney Islands","Orkney’s Community Wind Farm Project - Qanterness","Wind Onshore",28.8,"Awaiting Construction","Orkney Islands","S12000023"
"Orkney Islands","Costa Head Wind Farm","Wind Onshore",16.3,"Awaiting Construction","Orkney Islands","S12000023"
"Orkney Islands","Work Farm Wind Turbines","Wind Onshore",1.8,"Awaiting Construction","Orkney Islands","S12000023"
"Orkney Islands","Hesta Head Wind Farm","Wind Onshore",20.4,"Awaiting Construction","Orkney Islands","S12000023"
"Orkney Islands","Hammars Hill Wind Farm Extension","Hydrogen",NA,"Awaiting Construction","Orkney Islands","S12000023"
"Orkney Islands","Orkney’s Community Wind Farm Project - Faray","Wind Onshore",28.8,"Application Submitted","Orkney Islands","S12000023"
"Tayside","Rowan Gate - Solar Farm","Solar Photovoltaics",7,"Awaiting Construction","Perth and Kinross","S12000048"
"Tayside","Binn Eco Park","Advanced Conversion Technologies",4.6,"Awaiting Construction","Perth and Kinross","S12000048"
"Angus","Pleasance Road, Coupar - Solar Array","Solar Photovoltaics",49.9,"Application Submitted","Perth and Kinross","S12000048"
"Tayside","Binn Hill Solar Farm","Solar Photovoltaics",5,"Awaiting Construction","Perth and Kinross","S12000048"
"Tayside","Killiecrankie Waste Water Treatment Works - Solar Array","Solar Photovoltaics",0.3,"Application Submitted","Perth and Kinross","S12000048"
"Perth and Kinross","Carey Solar Farm","Solar Photovoltaics",10,"Awaiting Construction","Perth and Kinross","S12000048"
"Perth and Kinross","Binn Farm","EfW Incineration",7.3,"Awaiting Construction","Perth and Kinross","S12000048"
"Perth and Kinross","Strathallan Wind Farm","Wind Onshore",20.7,"Awaiting Construction","Perth and Kinross","S12000048"
"Angus","The James Hutton Institute - Solar PV Array","Solar Photovoltaics",2,"Awaiting Construction","Perth and Kinross","S12000048"
"Perth and Kinross","Perth Wastewater Treatment Works","Solar Photovoltaics",0.4,"Awaiting Construction","Perth and Kinross","S12000048"
"Tayside","Pitheavlis - Wind Turbine","Wind Onshore",1,"Awaiting Construction","Perth and Kinross","S12000048"
"Tayside","Greenacres, Braco - Hydrogen Production Facility","Hydrogen",NA,"Application Submitted","Perth and Kinross","S12000048"
"Tayside","Findony Farm, Dunning - Solar Array","Solar Photovoltaics",2,"Application Submitted","Perth and Kinross","S12000048"
"Strathclyde","Walkinshaw Gardens, Barnsford Road - Solar farm","Solar Photovoltaics",19.9,"Application Submitted","Renfrewshire","S12000038"
"Renfrewshire","East Fulwood Greenock Road - Solar Farm","Solar Photovoltaics",14.3,"Application Submitted","Renfrewshire","S12000038"
"Scottish Borders","Gilston Hill Wind Farm","Wind Onshore",21,"Awaiting Construction","Scottish Borders","S12000026"
"Borders","Plexus Lee, Forbes Way - Solar Panels","Solar Photovoltaics",0.51,"Awaiting Construction","Scottish Borders","S12000026"
"Scottish Borders","Pines Burn Wind Farm","Wind Onshore",33,"Awaiting Construction","Scottish Borders","S12000026"
"Borders","Burnfoot Industrial Estate - Solar Panels","Solar Photovoltaics",0.48,"Awaiting Construction","Scottish Borders","S12000026"
"Scottish Borders","Howpark Farm","Wind Onshore",20,"Under Construction","Scottish Borders","S12000026"
